state_id,init_x,init_y,init_z,init_vx,init_vy,init_vz,pred_x,pred_y,error
96,0.53,1.39,0.33,-0,-5.41,2.34,0.53,-1.76098,1.99639e-08
97,-0.585902,-1.45144,0.367834,1.22966,4.74456,1.89056,0.0572704,1.03021,3.91071e-08
98,-0.138997,0.850194,0.544964,1.19008,-5.38184,1.41238,0.459407,-1.85595,4.65835e-08
99,-0.0466108,1.44955,0.356717,-0.208411,-4.86864,1.30784,-0.136511,-0.650577,6.17993e-09
100,-0.232849,0.954844,0.288384,0.785172,-5.41058,1.42077,0.100822,-1.34447,2.88776e-08
101,-0.147026,1.35207,0.364972,-0.373295,-4.89882,1.44708,-0.316795,-0.875833,2.36167e-08
102,0.3,1.27,0.28,0.39,-4.64,1.74,0.48547,-0.936621,0.0227529
103,0.298594,1.307,0.22325,-1.70516,-7.23305,2.34862,-0.636691,-2.66036,3.75798e-09
104,-0.090269,1.57355,0.192967,-0.280237,-4.28985,3.04635,-0.27789,-1.29854,5.5623e-08
105,0.0456996,0.677507,0.28029,-0.405421,-4.7936,1.36216,-0.12206,-1.30604,2.5691e-08
106,0.0965866,0.921961,0.441574,0.774895,-4.27109,1.08584,0.431968,-0.926604,0.0212793
107,0.48,1.37,0.38,-1.15,-7.29,1.86,-0.115553,-2.40529,1.74603e-08
108,0.14,1.81,0.35,-1.36,-7.49,2.32,-0.649861,-2.54004,2.14073e-08
109,-0.210924,0.971767,0.393178,0.278636,-3.28895,1.49768,-0.0793734,-0.58102,2.87487e-09
110,-0.35,1.3,0.5,-0.06,-4.6,1.47,-0.380002,-1.00019,6.96755e-08
111,-0.01,1.05,0.41,-0.04,-4.72,1.26,-0.0277295,-1.04208,4.72334e-08
112,0.210643,1.04777,0.453594,-1.29724,-4.98162,1.64479,-0.452327,-1.49815,5.78282e-08
113,0.0899604,1.14829,0.297921,0.374961,-4.69914,1.18807,0.237793,-0.704401,1.53047e-08
114,-0.580649,1.35237,0.30753,0.298657,-3.84986,2.84859,-0.382147,-1.20642,5.82268e-09
115,0.23,1.19,0.46,1.19,-6.42,1.38,0.792341,-1.8438,1.87301e-08
